mode,n,construct_ms,heap_mb,decision_mean_us,decision_p50_us,decision_p99_us,permitted
static,5000,0.904,6.281,4.944,4.000,21.042,true
dynamic,5000,0.001,0.000,36.290,26.000,162.625,true
static,20000,1.162,18.719,2.966,2.625,6.083,true
dynamic,20000,0.001,0.000,34.701,24.000,154.500,true
static,100000,5.815,87.602,3.467,3.167,6.875,true
dynamic,100000,0.001,0.000,33.921,22.917,148.291,true
static,500000,28.443,428.406,5.972,5.708,11.166,true
dynamic,500000,0.001,0.000,34.116,23.000,168.958,true
static,1000000,50.416,856.656,10.887,10.625,16.667,true
dynamic,1000000,0.001,0.000,35.354,24.083,160.542,true
static,2000000,120.038,1714.211,22.614,21.875,30.958,true
dynamic,2000000,0.001,0.000,35.271,23.375,168.542,true
static,5000000,374.118,4271.445,73.385,72.167,92.416,true
dynamic,5000000,0.002,0.000,38.100,25.084,192.250,true
